id,name,structure_type,road_name,road_number,road_class,chainage_km,latitude,longitude,span_length_m,no_of_spans,no_of_lanes,no_of_piers,width_m,material,crossing_type,surface_type,year_built,condition_rating,last_inspection_date,district,region,maintenance_station,functional_class,river,overall_rating
BRG--,RWIZI BRIDGE,bridge,Mbarara(Bushenyi Junction) - Ntungamo,A002_Link08,A,264.0,-0.61817,30.644039,18.5,3,2,2,11.0,Prestressed Concrete,01,Bituminous,1970,2,2023-12-04,Mbarara,Southern,Mbarara,A,RIVER RWIZI,
BRG-B001,KIBIMBA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.53546,33.89109,20.0,3,2,2,13.0,Steel Truss,01,Bituminous,2022,5,2023-07-07,Kampala,Central,Kampala,M,KIBIMBA RIVER,7
BRG-B002,MALABA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,200.5,0.63782,34.26833,16.0,3,2,2,20.2,Steel Composite,01,Bituminous,2016,5,2024-01-03,Kampala,Central,Kampala,M,MALABA,7
BRG-B003,BUSEGA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.301,32.510059,73,1,2,0,7.3,Steel Truss,Road over river,Bituminous,2018,4,2022-11-09,Kampala,Central,Kampala,M,,7
BRG-B004,KATONGA BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.30104,32.509979,22,1,2,0,7.3,Prestressed Concrete,Road over river,Bituminous,2018,5,2023-02-07,Kampala,Central,Kampala,M,,7
BRG-B005,RWIZI BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,264.0,-0.61817,30.644039,18.5,3,2,2,11.0,Prestressed Concrete,01,Bituminous,2018,4,2023-01-08,Kampala,Central,Kampala,M,RIVER RWIZI,6
BRG-B006,KAMIRA BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,325.596008300781,-0.92715,30.223,42.0,1,2,0,8.0,Masonry,01,Bituminous,2018,5,2024-02-02,Kampala,Central,Kampala,M,KAMIRA RIVER,7
BRG-B007,RUBANGA BRIDGE,bridge,Ntungamo - Rubaale,A002_Link09,A,325.600006103516,-0.95836,30.20702,31.3,1,2,0,8.0,Steel Girder,01,Bituminous,1970,1,2024-02-02,Kabale,Southern,Kabale,A,RUBANGA RIVER,6
BRG-B008,KATINADA BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,340.557006835938,-1.03785,30.18478,14.0,1,2,0,11.0,Reinforced Concrete,01,Bituminous,2018,5,2022-07-12,Kampala,Central,Kampala,M,KEMYENDA RIVER,6
BRG-B009,Rubaale - Muhanga - Kabale,bridge,Kampala - Entebbe Expressway,M3_Link01,M,391.0,-1.26244,30.028669,21.0,1,2,0,10.8,Steel Girder,01,Bituminous,2018,5,2023-10-05,Kampala,Central,Kampala,M,KYANAMIRA,6
BRG-B00Z,Bumuli overbridge 2,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.176,32.5173,40,1,2,0,7.3,Steel Truss,Road over river,Bituminous,2018,4,2023-09-05,Kampala,Central,Kampala,M,,7
BRG-B00Z-11,Bumuli overbridge 2,bridge,Njeru - Jinja (Dual Section),A001N1_Link01,A,0,0.43834,33.186661,64,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,1960,2,2024-05-02,Kampala,Central,Kampala,A,,7
BRG-B010,KEE B7 Overbridge,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.2596,32.5215,22,1,2,0,7.3,Masonry,Road over river,Bituminous,2018,5,2024-03-03,Kampala,Central,Kampala,M,,7
BRG-B010-13,Sisa Bridge underpass,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.1594,32.5124,21,1,2,0,7.3,Timber,Road over river,Bituminous,2018,5,2023-03-09,Kampala,Central,Kampala,M,,7
BRG-B010-14,Mwanyare,bridge,Kabale - Katuna,A002_Link11,A,0,-1.42476,30.01174,48,1,2,0,7.3,Masonry,Road over river,Bituminous,1957,1,2024-05-02,Kabale,Southern,Kabale,A,,5
BRG-B011,KEE B8 overbridge,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.2525,32.5224,27,1,2,0,7.3,Prestressed Concrete,Road over river,Bituminous,2018,4,2022-12-09,Kampala,Central,Kampala,M,,6
BRG-B011-16,19+580 Over-bridge,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.1485,32.5107,23,1,2,0,7.3,Steel Composite,Road over river,Bituminous,2018,5,2023-06-07,Kampala,Central,Kampala,M,,7
BRG-B011-17,BUKOOLA,bridge,Kyotera - Mutukula,A004_Link02,A,0,0.84316,31.4886,55,1,2,0,7.3,Steel Girder,Road over river,Bituminous,2004,4,2023-02-07,Masaka,Central,Masaka,A,,6
BRG-B012,KEE B9 overbridge,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.2324,32.5235,38,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,2018,5,2023-05-08,Kampala,Central,Kampala,M,,4
BRG-B012-19,Ziiru overbridge,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.1452,32.5104,15,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,2018,4,2023-04-08,Kampala,Central,Kampala,M,,4
BRG-B012-20,BUYALA,bridge,Busega - Bujuuko,A005_Link01,A,0,0.32933,32.41803,19,1,2,0,7.3,Steel Composite,Road over river,Bituminous,2012,5,2023-05-08,Mpigi,Central,Mpigi,A,,6
BRG-B013,Kajjansi interchange KEE B10,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.2153,32.5313,78,1,2,0,7.3,Timber,Road over river,Bituminous,2018,5,2022-07-12,Kampala,Central,Kampala,M,,7
BRG-B013-22,Ziiru overbridge 2,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.1358,32.5104,64,1,2,0,7.3,Steel Girder,Road over river,Bituminous,2018,4,2023-08-06,Kampala,Central,Kampala,M,,7
BRG-B013-23,Mpanga,bridge,Kyenjojo - Rugombe - Fortportal,A005_Link10,A,33.0200004577637,0.64335,30.39365,9.0,3,2,2,10.3,Prestressed Concrete,01,Bituminous,1989,3,2023-06-07,Fort Portal,Western,Fort Portal,A,Mpanga,7
BRG-B014,Kajjansi interchange KEE B11,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.2153,32.5313,76,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,2018,5,2022-11-09,Kampala,Central,Kampala,M,,6
BRG-B014-25,Nambigirwa Bridge 1,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.1266,32.5114,15,1,2,0,7.3,Steel Composite,Road over river,Bituminous,2018,5,2024-05-02,Kampala,Central,Kampala,M,,6
BRG-B014-26,Mpanga,bridge,Fortportal - Kijura - Kabende Bridge-Sogahe-Kyarusozi,C542_Link01,C,0,0.660422,30.296738,39,1,2,0,7.3,Steel Composite,Road over river,Unsealed,0,4,2023-01-08,Fort Portal,Western,Fort Portal,C,,5
BRG-B015,Kajjansi overbridge 1 KEE B11,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,0.2087,32.5295,62,1,2,0,7.3,Masonry,Road over river,Bituminous,2018,5,2023-12-04,Kampala,Central,Kampala,M,,5
BRG-B015-28,Nambigirwa Bridge 2,bridge,Kibuku - Nyabushozi,C575_Link01,C,0,0.1266,32.5114,71,1,2,0,7.3,Steel Composite,Road over river,Unsealed,0,4,2024-02-02,Fort Portal,Western,Fort Portal,C,,5
BRG-B015-29,Mpanga,bridge,Kyenjojo - Rugombe - Fortportal,A005_Link10,A,49.6399993896484,0.6569,30.278099,7.5,2,2,1,7.8,Steel Composite,01,Bituminous,1989,4,2023-03-09,Fort Portal,Western,Fort Portal,A,Mpanga River,5
BRG-B016,Kajjansi overbridge 2 KEE B12,bridge,Kalongo - Kitgum Matidi,C677_Link02,C,0,0.2053,32.5282,67,1,2,0,7.3,Steel Composite,Road over river,Unsealed,0,4,2023-11-04,Kitgum,Northern,Kitgum,C,,7
BRG-B016-31,Mpalla 1,bridge,Kalongo - Kitgum Matidi,C677_Link02,C,0,0.1064,32.5126,68,1,2,0,7.3,Masonry,Road over river,Unsealed,0,3,2023-07-07,Kitgum,Northern,Kitgum,C,,7
BRG-B016-32,RWIMI,bridge,FortPortal - Rwimi(bridge),A005_Link11,A,45.5330009460449,0.37333,30.211411,15.7,1,2,0,7.8,Steel Girder,01,Bituminous,2007,5,2023-10-05,Fort Portal,Western,Fort Portal,A,RWIMI,7
BRG-B017,Kajjansi overbridge 3 KEE 13,bridge,Kalongo - Kitgum Matidi,C677_Link02,C,0,0.1974,32.5262,51,1,2,0,7.3,Steel Girder,Road over river,Unsealed,0,3,2023-11-04,Kitgum,Northern,Kitgum,C,,4
BRG-B017-34,Mpalla 2,bridge,Lokitanyara-Loro-Amudat,C963_Link02,C,0,0.1058,32.5123,78,1,2,0,7.3,Timber,Road over river,Unsealed,0,2,2023-06-07,Moroto,North Eastern,Moroto,C,,4
BRG-B017-35,Nsonja,bridge,Rwimi-Dura-Kamwenge,C547_Link01,C,46.0999984741211,-0.349995,30.27809,15.4,1,2,0,8.3,Steel Composite,01,Unsealed,0,2,2024-04-02,Fort Portal,Western,Fort Portal,C,,4
BRG-B018,Bumuli overbridge,bridge,Amudat-Alakasi-Kalita,C963_Link03,C,0,0.1849,32.5234,74,1,2,0,7.3,Reinforced Concrete,Road over river,Unsealed,0,4,2023-08-06,Moroto,North Eastern,Moroto,C,,6
BRG-B018-37,Mpalla 3,bridge,Toroma-Magoro,C964_Link02,C,0,0.105,32.5118,69,1,2,0,7.3,Steel Truss,Road over river,Unsealed,0,3,2023-04-08,Soroti,North Eastern,Soroti,C,,6
BRG-B018-38,MUBUKU BRIDGE,bridge,Mubuku - Kasese,A005_Link13,A,346.190002441406,-0.2614,30.120991,15.4,2,2,1,10.0,Timber,01,Bituminous,2007,3,2023-02-07,Kasese,Southern,Kasese,A,MUBUKU RIVER,6
BRG-B019,MUBUKU,bridge,Kokeris - Lopei,C967_Link01,C,347.779998779297,0.25201,30.11684,14.4,1,2,0,9.9,Prestressed Concrete,01,Unsealed,0,2,2024-05-02,Moroto,North Eastern,Moroto,C,RIVER MUBUKU,5
BRG-B019-40,Lopei Irish Crossing,bridge,Ariamoi - Kaladonapal - Kaperimoru,B301_Link01,B,0,2.57954,34.333321,26,1,2,0,7.3,Masonry,Road over river,Unsealed,0,4,2023-03-09,Kotido,North Eastern,Kotido,B,,5
BRG-B020,NYAMWAMBA BRIDGE,bridge,Mubuku - Kasese,A005_Link13,A,354.329986572266,-0.19445,30.105,18.5,1,2,0,10.3,Steel Composite,01,Bituminous,2007,5,2023-01-08,Kasese,Southern,Kasese,A,NYAMWAMBA RIVER,7
BRG-B020-42,Lopei Irish Crossing,bridge,Ariamoi - Kaladonapal - Kaperimoru,B301_Link01,B,0,2.572684,34.341084,27,1,2,0,7.3,Reinforced Concrete,Road over river,Unsealed,0,2,2023-12-04,Kotido,North Eastern,Kotido,B,,7
BRG-B021,KASEIGA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,357.630004882813,-0.1735,30.0863,6.8,2,2,1,9.9,Timber,01,Bituminous,2018,5,2023-08-06,Kampala,Central,Kampala,M,NYAMWAMBA,7
BRG-B021-44,Iriri MPCs,bridge,Iriri - Akisim (Lorengechora) - Ariamoi - Nadunget,B303_Link03,B,0,2.09746,34.22258,63,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,2019,4,2023-02-07,Moroto,North Eastern,Moroto,B,,7
BRG-B022,MPONDWE BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,417.799987792969,-0.041108,29.720169,21.2,1,2,0,10.0,Reinforced Concrete,01,Bituminous,2018,4,2022-09-10,Kampala,Central,Kampala,M,RUBIRIHA RIVER,7
BRG-B022-46,Bunamubi Bridge,bridge,Bubulo-Bududa Circle road,C867_Link02,C,0,1.0276,34.371941,28,1,2,0,7.3,Steel Girder,Road over river,Unsealed,0,2,2023-10-05,Mbale,Eastern,Mbale,C,,7
BRG-B023,KAFU BRIDGE,bridge,Nakasongola - Kafu,A006_Link06,A,0,1.54265,32.041771,23,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,1962,1,2024-01-03,Luwero,Central,Luwero,A,,7
BRG-B023-48,Dopeth Irish Crossing,bridge,Kibuku - Nyabushozi,C575_Link01,C,0,3.01139,34.02877,21,1,2,0,7.3,Timber,Road over river,Unsealed,0,3,2023-07-07,Fort Portal,Western,Fort Portal,C,,7
BRG-B024,Agago Irish Crossing,bridge,Kalongo - Kitgum Matidi,C677_Link02,C,0,2.72239,33.547661,15,1,2,0,7.3,Timber,Road over river,Unsealed,0,3,2024-03-03,Kitgum,Northern,Kitgum,C,,7
BRG-B025,KARUMA BRIDGE,bridge,Kalongo - Kitgum Matidi,C677_Link02,C,254.399993896484,2.242707,32.239796,28.7,3,2,2,8.3,Prestressed Concrete,01,Unsealed,0,2,2023-06-07,Kitgum,Northern,Kitgum,C,WHITE NILE,6
BRG-B025-51,Kitekena,bridge,Lokitanyara-Loro-Amudat,C963_Link02,C,0,0.322528,30.101757,59,1,2,0,7.3,Steel Composite,Road over river,Unsealed,0,3,2023-06-07,Moroto,North Eastern,Moroto,C,,6
BRG-B026,MAGODES,bridge,Amudat-Alakasi-Kalita,C963_Link03,C,4.0,0.82749,34.17004,7.0,1,2,0,9.5,Steel Truss,01,Unsealed,0,4,2022-09-10,Moroto,North Eastern,Moroto,C,,7
BRG-B026-53,Manafwa,bridge,Toroma-Magoro,C964_Link02,C,0,0.939423,34.158741,75,1,2,0,7.3,Timber,Road over river,Unsealed,0,3,2023-02-07,Soroti,North Eastern,Soroti,C,,7
BRG-B028,NAMATALA,bridge,Kokeris - Lopei,C967_Link01,C,48.0,1.10874,34.172459,9.5,1,2,0,6.5,Timber,01,Unsealed,0,3,2023-03-09,Moroto,North Eastern,Moroto,C,NAMATALA,7
BRG-B028-55,Kabobo - MPCs,bridge,Kafunzo-Kikagati,C419_Link01,C,0,-0.98259,30.50481,63,1,2,0,7.3,Steel Composite,Road over river,Unsealed,0,2,2023-08-06,Mbarara,Southern,Mbarara,C,,7
BRG-B029,FIKA-SALAAMA,bridge,Mbale - Namunsi - Kumi,A007_Link04,A,48.0,1.1647,34.15733,4.2,1,2,0,8.4,Prestressed Concrete,01,Bituminous,1970,2,2024-03-03,Mbale,Eastern,Mbale,A,LWERE,7
BRG-B029-57,Nyabisheke - MPCS,bridge,Muzizi-Buremba,C357_Link01,C,0,0.096188,30.660252,17,1,2,0,7.3,Steel Composite,Road over river,Unsealed,0,4,2022-11-09,Ibanda,Southern,Ibanda,C,,7
BRG-B030,AWOJA,bridge,Kampala - Entebbe Expressway,M3_Link01,M,102.5,1.66698,33.7374,20.0,3,2,2,10.6,Steel Girder,01,Bituminous,2018,5,2022-07-12,Kampala,Central,Kampala,M,AWOJA,7
BRG-B030-59,Ekyambu - MPCC,bridge,Ibanda-Kanoni-Kazo,C356_Link01,C,0,-0.13323,30.531191,51,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,2014,4,2024-03-03,Ibanda,Southern,Ibanda,C,,7
BRG-B031,TOCHI BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,339.330993652344,2.22715,32.341961,31.2,1,2,0,9.8,Reinforced Concrete,01,Bituminous,2018,5,2023-04-08,Kampala,Central,Kampala,M,TOCHI RIVER,4
BRG-B031-61,Nakironget Irish Crossing,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,1.86152,34.584389,53,1,2,0,7.3,Steel Truss,Road over river,Bituminous,2018,5,2023-10-05,Kampala,Central,Kampala,M,,6
BRG-B032,ALBERT NILE BRIDGE,bridge,Kampala - Entebbe Expressway,M3_Link01,M,106.198997497559,2.459358,31.507437,80.6,3,2,2,11.0,Reinforced Concrete,01,Bituminous,2018,5,2022-11-09,Kampala,Central,Kampala,M,ALBERT NILE,7
BRG-B032-63,Lolachat Irish Crossing/Splash,bridge,Kampala - Entebbe Expressway,M3_Link01,M,0,1.92604,34.561699,63,1,2,0,7.3,Prestressed Concrete,Road over river,Bituminous,2018,5,2023-05-08,Kampala,Central,Kampala,M,,7
BRG-B033,ACHWERA BRIDGE,bridge,Packwach - Nebbi,A008_Link03,A,147.100006103516,2.482735,31.172573,16.5,1,2,0,9.9,Timber,01,Bituminous,2004,4,2023-02-07,Arua,Northern,Arua,A,ACHWERA,7
BRG-B033-65,Nabilatuk Irish Crossing,bridge,Angatun-Nabilatuk-Lokapel,C960_Link01,C,0,2.05974,34.57732,75,1,2,0,7.3,Steel Truss,Road over river,Unsealed,0,2,2023-12-04,Moroto,North Eastern,Moroto,C,,7
BRG-B034,AKABA BRIDGE,bridge,Packwach - Nebbi,A008_Link03,A,150.100006103516,2.490772,31.141695,11.5,1,2,0,9.9,Timber,01,Bituminous,2004,3,2024-02-02,Arua,Northern,Arua,A,AKABA RIVER,6
BRG-B035,NYARWODHO BRIDGE,bridge,Packwach - Nebbi,A008_Link03,A,152.199996948242,2.49496,31.128204,11.5,1,1,0,9.9,Reinforced Concrete,01,Bituminous,2004,3,2023-07-07,Arua,Northern,Arua,A,NYARWODHO,7
BRG-B036,NAMTHIN BRIDGE,bridge,Nebbi - Eruba,A008_Link04,A,163.699996948242,2.511596,31.090334,16.4,1,2,0,9.9,Timber,01,Bituminous,2003,5,2024-02-02,Arua,Northern,Arua,A,NAMTHIN RIVER,7
BRG-B037,ORA BRIDGE,bridge,Nebbi - Eruba,A008_Link04,A,181.800003051758,2.656083,31.140558,44.3,1,2,0,9.7,Steel Girder,01,Bituminous,2003,3,2023-10-05,Arua,Northern,Arua,A,ORA RIVER,6
BRG-B038,AGUYI BRIDGE,bridge,Nebbi - Eruba,A008_Link04,A,208.0,2.829575,30.995136,16.5,1,2,0,9.9,Prestressed Concrete,01,Bituminous,2003,3,2024-02-02,Arua,Northern,Arua,A,AGUYI RIVER,7
BRG-B039,OZUVA BRIDGE,bridge,Nebbi - Eruba,A008_Link04,A,212.100006103516,2.867597,30.984146,9.4,1,2,0,9.8,Steel Truss,01,Bituminous,2003,3,2023-12-04,Arua,Northern,Arua,A,OZUVA,7
BRG-B040,WIKI BRIDGE,bridge,Nebbi - Eruba,A008_Link04,A,214.100006103516,2.879874,30.9809,16.5,1,2,0,9.9,Steel Girder,01,Bituminous,2003,4,2022-09-10,Arua,Northern,Arua,A,WIKI,7
BRG-B041,KAYIRILA BRIDGE,bridge,Busunju - Kiboga - Lwamata,A009_Link03,A,0,0.8206,31.909081,57,1,2,0,7.3,Prestressed Concrete,Road over river,Bituminous,2007,3,2023-10-05,Kampala,Central,Kampala,A,,5
BRG-B042,MPOLOGOMA,bridge,Nakalama - Namutumba - Mpologoma bridge,A012_Link01,A,46.2999992370605,0.96719,33.737881,16.8,2,2,1,10.7,Timber,01,Bituminous,1996,3,2023-12-04,Jinja,Eastern,Jinja,A,MPOLOGOMA,7
BRG-B043,RUSHANGO-BRIDGE,bridge,Ibanda-Kanoni-Kazo,C356_Link01,C,25.7000007629395,0.08435,30.705971,31.6,1,2,0,11.4,Timber,01,Bituminous,2014,5,2022-11-09,Ibanda,Southern,Ibanda,C,RUSHANGO RIVER,7
BRG-B044,Mpanga - Bridge,bridge,Ibanda - Muziza - Kamwenge,B150_Link03,B,0,0.100761,30.461651,24,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,2014,5,2023-06-07,Ibanda,Southern,Ibanda,B,,6
BRG-B047,KATUNGURU BRIDGE,bridge,Ishaka - Buhinda - Rugazi,B152_Link03,B,90.0,0.1251,30.04866,20.3,3,1,2,8.0,Masonry,01,Bituminous,1989,2,2023-09-05,Mbarara,Southern,Mbarara,B,KAZINGA CHANNEL,5
BRG-B048,MUZIZI,bridge,Kyenjojo - Katoke - R. Muzizi,B202_Link01,B,20.0699996948242,0.87107,30.729679,20.4,2,2,1,9.6,Steel Truss,01,Bituminous,2020,5,2023-09-05,Fort Portal,Western,Fort Portal,B,MUZIZI,7
BRG-B049,NKUSI,bridge,Kagadi - Mabale - Kabwoya,B202_Link03,B,31.8600006103516,1.12972,30.99474,21.1,1,2,0,11.1,Timber,01,Bituminous,2020,5,2022-11-09,Hoima,Western,Hoima,B,NKUSI,7
BRG-B050,RWERE,bridge,Namunsi - Sironko,B300_Link01,B,21.5,1.153,34.19989,7.0,1,2,0,7.8,Reinforced Concrete,01,Bituminous,1961,1,2024-02-02,Mbale,Eastern,Mbale,B,RWERE,7
BRG-B051,SIRONKO,bridge,Namunsi - Sironko,B300_Link01,B,0,1.23629,34.257061,20.0,1,2,0,10.0,Masonry,01,Bituminous,1961,1,2024-02-02,Mbale,Eastern,Mbale,B,SIRONKO,7
BRG-B052,NALUGUGU,bridge,Namunsi - Sironko,B300_Link01,B,21.7999992370605,1.24035,34.267288,7.0,1,2,0,10.8,Steel Composite,01,Bituminous,1961,1,2024-01-03,Mbale,Eastern,Mbale,B,NALUGUGU,7
BRG-B053,SIMU,bridge,Sironko - Muyembe,B300_Link02,B,22.0,1.29864,34.287251,10.0,1,2,0,10.0,Timber,01,Bituminous,1961,1,2024-03-03,Mbale,Eastern,Mbale,B,SIMU,5
BRG-B054,YEMBE,bridge,Muyembe - Namalu,B300_Link03,B,72.0999984741211,1.33472,34.296692,16.0,1,2,0,8.0,Steel Composite,01,Unsealed,0,2,2024-04-02,Mbale,Eastern,Mbale,B,YEMBE,7
BRG-B055,ATARI,bridge,Kapchorwa-Suam,B304_Link02,B,98.5999984741211,1.40724,34.482601,20.0,1,2,0,15.0,Steel Truss,01,Bituminous,2023,5,2023-06-07,Mbale,Eastern,Mbale,B,ATARI,7
BRG-B056,NGENGE,bridge,Kapchorwa-Suam,B304_Link02,B,7.0,1.40692,34.508049,16.0,1,2,0,15.0,Timber,01,Bituminous,2023,5,2024-05-02,Mbale,Eastern,Mbale,B,NGENGE,7
BRG-B057,EMJONG,bridge,Kapchorwa-Suam,B304_Link02,B,7.0,1.41467,34.51548,18.0,1,2,0,15.0,Reinforced Concrete,01,Bituminous,2023,4,2023-06-07,Mbale,Eastern,Mbale,B,EMJONG,7
BRG-B058,Kanyago 2,bridge,Kanyago Bridge - Kumi,B305_Link03,B,0,1.414941,33.921436,53,1,2,0,7.3,Prestressed Concrete,Road over river,Bituminous,2021,5,2023-03-09,Soroti,North Eastern,Soroti,B,,6
BRG-B060,KANYAGO,bridge,Kanyago Bridge - Kumi,B305_Link03,B,0,1.26842,33.872719,26,1,2,0,7.3,Reinforced Concrete,Road over river,Bituminous,2021,5,2023-08-06,Soroti,North Eastern,Soroti,B,,4
BRG-B061,BUYANJA,bridge,Lyantonde - Lumbugu,C214_Link01,C,0,0.46901,31.19845,79,1,2,0,7.3,Steel Composite,Road over river,Unsealed,0,3,2024-02-02,Masaka,Central,Masaka,C,,4
BRG-B062,KIBALE BRIDGE,bridge,Isingiro-Kityanza,C351_Link01,C,22.2029991149902,0.77879,31.346729,21.9,1,1,0,5.0,Steel Composite,01,Unsealed,0,3,2023-08-06,Mbarara,Southern,Mbarara,C,KIBAL RIVER,5
BRG-B067,KAHENGE BRIDGE,bridge,Kagamba-Kebisoni,C410_Link01,C,14.1000003814697,-0.83153,30.05032,15.8,1,2,0,7.9,Steel Girder,01,Bituminous,2005,5,2022-09-10,Kabale,Southern,Kabale,C,KAHENGE,7
BRG-B068,MINERA 01,bridge,Muhanga-Kisiizi-Kebisoni,C411_Link01,C,53.4000015258789,-0.90601,30.011499,10.6,1,1,0,4.7,Masonry,01,Unsealed,0,3,2023-12-04,Kabale,Southern,Kabale,C,RIVER MINERA,5
BRG-B069,MINERA 02,bridge,Muhanga-Kisiizi-Kebisoni,C411_Link01,C,53.4300003051758,-0.905775,30.011419,6.3,2,1,1,5.0,Prestressed Concrete,01,Unsealed,0,4,2024-04-02,Kabale,Southern,Kabale,C,RIVER MINERA,6
BRG-B070,NYAMWIRU BRIDGE,bridge,Katunguru - Ishasha,C414_Link01,C,17.0,-0.313053,29.870918,6.2,3,1,2,9.9,Steel Girder,01,Unsealed,0,2,2024-03-03,Kasese,Southern,Kasese,C,NYAMWIRU RIVER,7
BRG-B071,RWEMPUNU BRIDGE,bridge,Katunguru - Ishasha,C414_Link01,C,37.2000007629395,-0.383601,29.876026,6.2,4,2,3,9.9,Timber,01,Unsealed,0,4,2024-01-03,Kasese,Southern,Kasese,C,RWEMPUNU RIVER,7
BRG-B072,KAIZI BRIDGE,bridge,Katunguru - Ishasha,C414_Link01,C,41.7000007629395,-0.42302,29.867781,6.2,4,2,3,9.9,Steel Composite,01,Unsealed,0,2,2023-12-04,Kasese,Southern,Kasese,C,KAIZI RIVER,7
BRG-B073,NCHWERA BRIDGE,bridge,Katunguru - Ishasha,C414_Link01,C,50.2000007629395,-0.45831,29.8015,30.7,1,1,2,8.6,Prestressed Concrete,01,Unsealed,0,3,2023-07-07,Kasese,Southern,Kasese,C,NSHWERA RIVER,5
BRG-B074,NTUNGWE BRIDGE,bridge,Katunguru - Ishasha,C414_Link01,C,66.5999984741211,-0.57484,29.72377,45.6,1,2,0,10.0,Steel Composite,01,Unsealed,0,2,2023-11-04,Kasese,Southern,Kasese,C,NTUNGWE RIVER,6
BRG-B075,ISHASHA BRIDGE,bridge,Katunguru - Ishasha,C414_Link01,C,86.3000030517578,-0.727353,29.628202,12.2,3,2,2,8.0,Steel Composite,01,Unsealed,0,3,2023-12-04,Kasese,Southern,Kasese,C,ISHASHA RIVER,3
BRG-B076,NYAMUKAMBU BRIDGE,bridge,Bihanga - Bwizibwera,C415_Link02,C,22.1299991607666,0.43451,30.46027,13.5,1,1,0,3.3,Prestressed Concrete,01,Unsealed,0,3,2023-10-05,Ibanda,Southern,Ibanda,C,NYAKAMBUGU SWAMP,2
BRG-B077,KAMIIRA BRIDGE,bridge,Bihanga - Nsiika,C416_Link01,C,13.1999998092651,0.3745,30.424589,13.0,1,2,0,4.4,Steel Truss,01,Unsealed,0,3,2023-06-07,Ibanda,Southern,Ibanda,C,KAMIIRA STREAM,5
BRG-B078,MIRAMA 01,bridge,Kafunzo-Kakitumba,C417_Link03,C,29.7070007324219,-1.05192,30.458719,21.7,1,1,0,12.2,Steel Composite,01,Bituminous,2017,4,2023-10-05,Kabale,Southern,Kabale,C,RIVER KAGERA,7
BRG-B079,KATENGURE BRIDGE,bridge,Kakukuru - Rubale,C418_Link01,C,9.14000034332275,-0.990536,30.219315,8.3,1,1,0,4.5,Prestressed Concrete,01,Unsealed,0,2,2024-03-03,Kabale,Southern,Kabale,C,KATENGURE RIVER,4
BRG-B080,MUBUKU BRIDGE,bridge,Mubuku-Maliba-Nyakalingijo,C510_Link01,C,10.6999998092651,-0.33364,30.07723,19.0,1,1,0,5.4,Masonry,01,Unsealed,0,3,2023-10-05,Kasese,Southern,Kasese,C,MUBUKU RIVER,2
BRG-B081,KILEMBE  BRIDGE,bridge,Kasese - Kilembe mines,C511_Link01,C,10.1999998092651,-0.197898,30.012709,20.0,1,2,0,10.1,Reinforced Concrete,01,Bituminous,2007,3,2024-03-03,Kasese,Southern,Kasese,C,RIVER NYAMWAMBA,7
BRG-B082,KANYAMPALA BRIDGE,bridge,Kinyamaseke-Kisinga,C513_Link01,C,6.30000019073486,-0.04609,29.857031,15.2,1,1,0,4.0,Reinforced Concrete,01,Unsealed,0,3,2023-01-08,Kasese,Southern,Kasese,C,KANYAMPALA,5
BRG-B085,NYAMUGASANI BRIDGE,bridge,Katojo-Katwe-Rwentale,C516_Link01,C,14.3000001907349,-0.12346,29.84318,8.4,3,1,2,3.8,Timber,01,Unsealed,0,2,2023-10-05,Kasese,Southern,Kasese,C,NAMUSAGANI,5
